,Mes,Región,Temperatura
0,Ene,Aguascalientes,14.0
1,Feb,Aguascalientes,16.9
2,Mar,Aguascalientes,19.0
3,Abr,Aguascalientes,19.6
4,May,Aguascalientes,22.3
5,Jun,Aguascalientes,23.2
6,Jul,Aguascalientes,21.4
7,Ago,Aguascalientes,20.9
8,Sep,Aguascalientes,19.5
9,Oct,Aguascalientes,18.6
10,Nov,Aguascalientes,16.7
11,Dic,Aguascalientes,13.8
12,Ene,Baja California,14.3
13,Feb,Baja California,12.2
14,Mar,Baja California,15.6
15,Abr,Baja California,20.4
16,May,Baja California,20.4
17,Jun,Baja California,24.1
18,Jul,Baja California,25.6
19,Ago,Baja California,28.1
20,Sep,Baja California,25.3
21,Oct,Baja California,21.0
22,Nov,Baja California,17.9
23,Dic,Baja California,13.6
24,Ene,Baja California Sur,18.7
25,Feb,Baja California Sur,18.4
26,Mar,Baja California Sur,20.3
27,Abr,Baja California Sur,22.5
28,May,Baja California Sur,22.6
29,Jun,Baja California Sur,26.5
30,Jul,Baja California Sur,29.6
31,Ago,Baja California Sur,30.0
32,Sep,Baja California Sur,28.4
33,Oct,Baja California Sur,25.6
34,Nov,Baja California Sur,22.8
35,Dic,Baja California Sur,18.9
36,Ene,Campeche,23.3
37,Feb,Campeche,26.6
38,Mar,Campeche,26.9
39,Abr,Campeche,28.7
40,May,Campeche,31.1
41,Jun,Campeche,29.9
42,Jul,Campeche,29.0
43,Ago,Campeche,29.3
44,Sep,Campeche,28.7
45,Oct,Campeche,28.2
46,Nov,Campeche,26.0
47,Dic,Campeche,24.2
48,Ene,Coahuila,13.5
49,Feb,Coahuila,17.1
50,Mar,Coahuila,18.8
51,Abr,Coahuila,22.8
52,May,Coahuila,26.4
53,Jun,Coahuila,28.3
54,Jul,Coahuila,28.7
55,Ago,Coahuila,30.5
56,Sep,Coahuila,27.4
57,Oct,Coahuila,22.8
58,Nov,Coahuila,17.6
59,Dic,Coahuila,14.7
60,Ene,Colima,25.9
61,Feb,Colima,25.5
62,Mar,Colima,26.2
63,Abr,Colima,25.4
64,May,Colima,26.7
65,Jun,Colima,29.3
66,Jul,Colima,29.1
67,Ago,Colima,29.1
68,Sep,Colima,28.6
69,Oct,Colima,27.9
70,Nov,Colima,28.0
71,Dic,Colima,26.6
72,Ene,Chiapas,23.0
73,Feb,Chiapas,24.8
74,Mar,Chiapas,25.4
75,Abr,Chiapas,26.5
76,May,Chiapas,27.7
77,Jun,Chiapas,26.6
78,Jul,Chiapas,26.3
79,Ago,Chiapas,26.7
80,Sep,Chiapas,26.3
81,Oct,Chiapas,25.8
82,Nov,Chiapas,24.8
83,Dic,Chiapas,23.2
84,Ene,Chihuahua,11.0
85,Feb,Chihuahua,12.8
86,Mar,Chihuahua,16.4
87,Abr,Chihuahua,18.9
88,May,Chihuahua,22.0
89,Jun,Chihuahua,26.3
90,Jul,Chihuahua,26.4
91,Ago,Chihuahua,25.8
92,Sep,Chihuahua,22.8
93,Oct,Chihuahua,19.0
94,Nov,Chihuahua,15.0
95,Dic,Chihuahua,10.8
96,Ene,Ciudad de México,15.4
97,Feb,Ciudad de México,18.1
98,Mar,Ciudad de México,19.2
99,Abr,Ciudad de México,20.2
100,May,Ciudad de México,21.4
101,Jun,Ciudad de México,20.1
102,Jul,Ciudad de México,18.9
103,Ago,Ciudad de México,19.8
104,Sep,Ciudad de México,19.4
105,Oct,Ciudad de México,19.1
